"region","regioncode","prefecture","commune","canton","code_canton","code","localite_name","localites","locationcode","idcentre","centres"
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1494,POGYOGO,POGYOGO-EPP SEGBE G/B,"000012889","12889",EPP SEGBE G/B
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1495,WATINOMA,WATINOMA-CPL LA COURONNE D'OR,"000012890","12890",CPL LA COURONNE D'OR
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1495,WATINOMA,WATINOMA-LYCEE ADIDOGOME I,"000012891","12891",LYCEE ADIDOGOME I
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1495,WATINOMA,WATINOMA-EPP WONYOME G/B,"000012892","12892",EPP WONYOME G/B
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1495,WATINOMA,WATINOMA-EPP WONYOME G/C,"000012893","12893",EPP WONYOME G/C
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1495,WATINOMA,WATINOMA-EPP WONYOME G/D,"000012894","12894",EPP WONYOME G/D
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1497,AMADOU ZAMBEDE,AMADOU ZAMBEDE-EPL LES CHAMPIONS,"000012895","12895",EPL LES CHAMPIONS
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1497,AMADOU ZAMBEDE,AMADOU ZAMBEDE-EPC AGBLEGAN,"000012896","12896",EPC AGBLEGAN
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1496,CINKASSE CENTRE,CINKASSE CENTRE-EPP WOUGOME KPONTAVI,"000012897","12897",EPP WOUGOME KPONTAVI
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1490,SAMMONGO 1,SAMMONGO 1-EPP WOUGOME DEKPO G/A,"000012902","12902",EPP WOUGOME DEKPO G/A
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1490,SAMMONGO 1,SAMMONGO 1-EPP WOUGOME DEKPO G/B,"000012903","12903",EPP WOUGOME DEKPO G/B
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1491,PIZOSGO,PIZOSGO-EPP KLEME AGOKPANOU G/B,"000012904","12904",EPP KLEME AGOKPANOU G/B
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1491,PIZOSGO,PIZOSGO-EPP KLEME AGOKPANOU G/A,"000012905","12905",EPP KLEME AGOKPANOU G/A
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1511,SILMISSI,SILMISSI-EPP ABATAME,"000012906","12906",EPP ABATAME
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1498,GBATIMANOU,GBATIMANOU-EPP ADJIDO G/A,"000012907","12907",EPP ADJIDO G/A
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1512,YIEGO,YIEGO-EPP AGBANOU,"000012908","12908",EPP AGBANOU
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1504,POURENDE,POURENDE-EPP ASSOU KONDJI,"000012909","12909",EPP ASSOU KONDJI
SAVANES,R5,CINKASSE,CINKASSE 2,BIANKOURI,CNT338,L1520,MOMPOATE MOBA II,MOMPOATE MOBA II-EPP ASSOUKOPE,"000012910","12910",EPP ASSOUKOPE
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1502,MORKANA,MORKANA-EPP DEGBENOU,"000012912","12912",EPP DEGBENOU
SAVANES,R5,CINKASSE,CINKASSE 2,BIANKOURI,CNT338,L1522,GBATEMANOU II,GBATEMANOU II-EPP ZALIVE,"000012913","12913",EPP ZALIVE
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1521,KPALBIAGA I,KPALBIAGA I-EPP SIGBEHOUE G/A,"000012914","12914",EPP SIGBEHOUE G/A
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1519,ZOLALE,ZOLALE-EPP ZEBEVI G/A,"000012915","12915",EPP ZEBEVI G/A
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1503,PEGWENDE,PEGWENDE-COLLEGE SAINT PIERRE ET PAUL,"000012916","12916",COLLEGE SAINT PIERRE ET PAUL
SAVANES,R5,CINKASSE,CINKASSE 2,BIANKOURI,CNT338,L1506,KPINDJIEME,KPINDJIEME-EPP MESSAN CONDJI G/A,"000012917","12917",EPP MESSAN CONDJI G/A
SAVANES,R5,CINKASSE,CINKASSE 2,BIANKOURI,CNT338,L1506,KPINDJIEME,KPINDJIEME-EPP MESSAN CONDJI G/B,"000012918","12918",EPP MESSAN CONDJI G/B
SAVANES,R5,CINKASSE,CINKASSE 2,BIANKOURI,CNT338,L1506,KPINDJIEME,KPINDJIEME-EPP MESSAN CONDJI G/C,"000012919","12919",EPP MESSAN CONDJI G/C
